sort,season,name,description,GDlng,Gdlat
1,SH1,SH1-闵行五中,城市飞奔原型“快乐成双”的发源地，红红的母校。,121.4193204,31.00692007
2,SH2,SH2-闵行五中,城市飞奔原型“快乐成双”的发源地，红红的母校。,121.4189547,31.00687925
3,SH3,SH3-闵行公园,SH3起点，CRP公开赛的开始,121.4249091,31.00921499
3,SH3,SH3-龙音寺,LEG2PS，LEG3起点。,121.4310597,31.00264999
3,SH3,SH3-上海博物馆,LEG3让路点。\nK和Elvis再次遭受了CRP公开赛第一个让路。\nRI：至少以5元的价格推销6面小国旗。,121.4754941,31.22832542
3,SH3,SH3-南京路步行街,LEG3DT点。\n步行：选手步行寻找PS；当当车：选手乘当当车寻找PS。,121.4752607,31.23473128
3,SH3,SH3-美特斯邦威旗舰店,LEG3PS，LEG4起点。PK：找外国人合影。K和Elvis因为杭州组急着赶火车回去，成为了CRP公开赛第一个复活组。,121.4827288,31.23657361
3,SH3,SH3-闵行五中,LEG4RI：奥运会相关填字游戏。,121.4193204,31.00692007
3,SH3,SH3-江川体育活动中心,LEG4最终任务：两人三足。,121.4075768,31.00674491
3,SH3,SH3-东风小区,LEG1RB：走鹅卵石路。,121.4215297,31.00714012
3,SH3,SH3-白浪理发店,LEG1DT点。\nMaths：数出一张纸上所有的汉字个数，English：写出一系列单词的同义词。,121.4101219,31.00504717
3,SH3,SH3-古藤园,LEG1PS，K和Elvis以45分钟的巨大优势获得了第一个CRP公开赛的赛段冠军。,121.3871402,31.00272912
3,SH3,SH3-紫竹苑,LEG2DT：\n搜索：到老式小区中搜索电话号码。\n数学：做数学题获得电话号码。,121.4271995,31.00672035
3,SH3,SH3-新闵小区,LEG2回转点。\nEP1冠军K和Elvis惨遭CRP公开赛第一次回转。,121.4255901,31.00508009
3,SH3,SH3-麦当劳(闵行餐厅),LEG2起点，CRP创始人红红为了避免睡过头选择的方便快捷的起点。,121.4236198,31.00588035
3,SH3,SH3-好又多超市,LEG2RB：购物字谜,121.4251877,31.00193488
3,SH3,SH3-鼓浪屿西饼屋,LEG1RI，选手在这里领取下一条线索和午饭（一袋面包），当年的比赛多么有良心啊。,121.4102399,31.00413976
3,SH3,SH3-江川体育活动中心主席台,SH3终点。红红独自站在高台上迎接胜利的选手。,121.407325,31.00728578
4,SH4,SH4-金平路站,LEG1RI,121.4100455,31.01113791
4,SH4,SH4-莘庄地铁站,LEG1RI,121.3850135,31.11092772
4,SH4,SH4-颛桥地铁站,LEG1PS，在轨道交通5号线上奔波了一个赛段的选手们需要在列车上四处张望并发现站外的人行天桥就是本赛段的中继站。,121.4016971,31.06675255
4,SH4,SH4-黄金广场,LEG2起点。SB：跳1000次绳。EP1冠军冰箱被队友Vivian抛弃成为了CRP公开赛第一个单人作战的选手，这一行为被若干年后的非凡搭档所模仿。,121.4825099,31.40348972
4,SH4,SH4-白玉兰广场,LEG2RI，在广场上寻找线索。线索藏在玉兰芯的雕塑中。,121.4877496,31.39545964
4,SH4,SH4-吴淞环岛花鸟市场,LEG2RI：在有宝房集团字样的地方寻找下一条线索。,121.4983397,31.37853974
4,SH4,SH4-通河新村站,LEG2PS，LEG3起点。路上发生了巨大抓马，主持人遭遇了类似TAR10LEG9基辅赛段事件。,121.4413998,31.33143184
4,SH4,SH4-小绍兴淞滨路店,LEG2RB，出现了SH第一个吃东西任务：吃鸡粥,121.4991247,31.37475776
4,SH4,SH4-上海电视台,LEG3PS。,121.4654399,31.22763987
4,SH4,SH4-上海科技馆,LEG4起点，LEG6回忆任务：选手必须在字库中找出本次比赛中线索中出现的11个地点，CRP历史上第一个回忆任务。,121.5413869,31.21801023
4,SH4,SH4-浦东八佰伴,LEG4RB：谁更爱玩游戏？选手们面对CRP第一个游戏任务：用5个游戏币打出80张游戏券。,121.5171383,31.2281944
4,SH4,SH4-豫园九曲桥,LEG4PS，LEG5起点，SB：在本赛段终点背诵一段8位数密码，忘记被罚30分钟。,121.4918397,31.2267398
4,SH4,SH4-黄兴公园站,LEG5DT选择点。,121.5332112,31.29587773
4,SH4,SH4-聚湘福湘菜馆,"LEG5DT：hot。CRP第一个""赞助商""赞助的任务点，老板爽快地报销了选手吃的该店最辣冷菜。",121.53321,31.29625972
4,SH4,SH4-五角场,LEG5RI：填字游戏，根据提示填出7个词后串联出一个新单词。,121.5155102,31.29990012
4,SH4,SH4-江湾体育场,LEG5PS，离五角场最近的Stadium。,121.5147458,31.30579055
4,SH4,SH4-虹口足球场,LEG6起点。,121.4799493,31.2715252
4,SH4,SH4-世纪公园7号门,SH4终点，也许这是第一次也是最后一次CRP四日赛了，冠军获得了两张世博会门票。,121.5504489,31.2119011
4,SH4,SH4-大宁国际商业广场,LEG3DT点。\nShort and Hard：选手需找到一块圆柱形路牌并数出上面用英文标注的店铺数。,121.4535698,31.27357006
4,SH4,SH4-上海康城南门,LEG1RI：选手们万万没想到，他们要送生日贺卡到瀑布弯道的94号203室获得下一条线索，完成后联合解除。,121.3597222,31.101042
4,SH4,SH4-滨江大道,LEG4DT点。\nModern：选手需要估算东方明珠金茂大厦国际金融中心的总高度，误差不超过30米；Western：选手需要判断外滩1、3、5、6、12、23号中的哥特式建筑。错误回答需要5分钟后才能获得下一条线索。,121.4963525,31.23574811
4,SH4,SH4-南京路百联世茂国际广场,LEG6RB：将所给店铺按照湖北路以东及以西进行分割。裁判是一位大妈？！,121.4756508,31.23433039
4,SH4,SH4-多伦路四面钟,LEG6RI,121.4817698,31.26399967
4,SH4,SH4-静安公园,SH4RB点，任务是找人接头，但选手们一秒就找到了在雨中独自坐着的工作人员。,121.4469946,31.22228824
4,SH4,SH4-静安寺,LEG3RB：谁想当一回黑客？,121.4456617,31.22247696
4,SH4,SH4-黄兴公园,LEG5DT：cold\n绕着公园冬跑一周，没队伍选。,121.5297528,31.29362861
4,SH4,SH4-闸北公园,LEG2DT，Long and easy：跑到这里合影再回去。,121.4572325,31.26963457
4,SH4,SH4-江川体育活动中心,SH4起点，联合，一个特殊的四日赛拉开序幕，比赛录制了视频。选手们在起点线发现只有10块钱和一堆报纸，事后发现报纸居然还有过期的，这锅只能甩给贪便宜的红红。,121.4071202,31.00742967
4,SH4,SH4-复旦大学正大体育场,在五角场“寻找最近的Staduim”，在杨浦主场作战的女女组跑到了复旦大学正大体育场，而没有到达江湾体育场，惨遭淘汰。,121.5032407,31.29206223
5,YD1,YD1-上海音乐厅,YD1起点。,121.4779649,31.22685169
5,YD1,YD1-陈家镇汽车站,崇明重要的汽车中转站，YD1从上海到崇明南门、YD6从崇明南门到江苏启东时均经过,121.7894105,31.5129155
5,YD1,YD1-崇明学宫,崇明学宫，传授孔子之学的地方，同时也是崇明博物馆。,121.4015992,31.61864872
5,YD1,YD1-瀛洲公园,LEG1RB：谁能保持平衡？\n\n手持乒乓板，保持乒乓球不落地，延观鱼亭出发绕星湖一周。\n,121.4019472,31.61707928
5,YD1,YD1-南门景观大堤,LEG1RI，这里有一块美丽的写着崇明岛的石头。,121.4003306,31.61558445
5,YD1,YD1-南门广场,LEG1RI：将所有选手的照片和他们的姓名配对！这里有一个弹钢琴少女的雕像。,121.3949813,31.61850337
5,YD1,YD1-南门港,LEG1PS，LEG2起点，YD第一个赛段的终点。,121.3934615,31.61776981
5,YD1,YD1-崇明体育馆,LEG1RI，乒超联赛上海主场，让路点。,121.4004413,31.62683953
5,YD1,YD1-复兴岛公园,LEG5起点。,121.56262,31.28647064
5,YD1,YD1-崇明学宫,LEG1RI,121.4015992,31.61864872
5,YD1,YD1-吴淞铁路遗址,LEG2RB：谁是地铁达人？选手需要回答一系列地铁换乘站。,121.49497,31.3694793
5,YD1,YD1-北翼商业街,LEG2FF，选手只需要一只手完成美丽的美甲。,121.4837195,31.40148037
5,YD1,YD1-古漪园餐厅,让路点，RI：吃点一份共计20个的小笼。,121.3163305,31.28856973
5,YD1,YD1-安亭,LEG2DT点。\nRI：请购买一本近期的《读者》杂志（右下角号码：2010-17），根据密码破译出本赛段的终点，并在附近寻找主持人。,121.1620835,31.28848637
5,YD1,YD1-安亭耶稣堂,LEG2DT：Go to Church：“安亭唯一一个教堂”,121.1393603,31.30434987
5,YD1,YD1-严泗桥,LEG2DT：Go to temple：YD9你们还在数石狮子，too young！,121.1522402,31.29842985
5,YD1,YD1-上海赛车场,LEG2PS，大家回去收拾一下。,121.2261326,31.33186794
5,YD1,YD1-上海火车站,LEG3起点，遥遥领先非凡搭档的赛制产生了。,121.4556102,31.24967015
5,YD1,YD1-苏州博物馆,LEG3DT。,120.627773,31.32291113
5,YD1,YD1-玄妙观,LEG3DT：味觉煎熬，把所有苦瓜都吃光光哦~\n朋友，你喜欢吃东西吗？,120.6262601,31.3120996
5,YD1,YD1-平江路,LEG3DT：体力煎熬，找桥。\n朋友，逛街开心吗？,120.6348994,31.30940446
5,YD1,YD1-阊门遗址,LEG3RB：谁想在烈日下做推销？请将提供的两个荷包以最低5元人民币的总价出售后，经工作人员检验后，获得下一条线索，出售荷包后所得的钱可归入自己的经费中。,120.6055599,31.31507969
5,YD1,YD1-苏州市体育中心,LEG3让路点，RI：类似于TAR11最终任务。,120.5792221,31.29579883
5,YD1,YD1-苏州市体育中心7号门,LEG3PS。,120.5778753,31.29514687
5,YD1,YD1-中央公园,LEG4DT：Up：抬头望望广场，把不存在国旗的国家挑出来。,120.6615973,31.31402227
5,YD1,YD1-中央公园沙坑,LEG4DT：Down，在沙坑里挖线索，还有一条是快进。\n沙坑里的线索都已经降解了吧，自己都挖不出。,120.6626365,31.31545273
5,YD1,YD1-圆融雕塑,LEG4RB：谁了解苏州人？\n看一段资料回答苏州历史问题。,120.6852033,31.31538217
5,YD1,YD1-苏州火车站,LEG4PS，选手们踏上了回家的路，晋级的三队展开大决战。,120.6108399,31.32965246
5,YD1,YD1-打电话少女雕像,LEG5RB：朋友，打电话吗？,121.4612538,31.2178089
5,YD1,YD1-田子坊,LEG5RI，找明信片并填写。有点坑爹。,121.4694032,31.20784262
5,YD1,YD1-上海邮政博物馆,LEG5RI：买张邮票，把明信片寄了吧。DT：New brain：破译摩斯密码。,121.4846497,31.24427027
5,YD1,YD1-上海市档案馆外滩新馆,LEG5DT：New sight，用摄像机寻找比赛标志。\n你眼力好吗?,121.4923136,31.23238441
5,YD1,YD1-金陵东路渡口,LEG5RI，坐船过江啦！,121.4930502,31.23235967
5,YD1,YD1-正大广场,LEG5最终任务：判断线索是否正确并按顺序排列。,121.4993023,31.23705461
5,YD1,YD1-浦东图书馆新馆,YD1终点。,121.5414334,31.19224249
5,YD1,YD1-宝杨码头,LEG2RI，这里可以乘船到美丽的崇明岛。,121.5010102,31.40846998
5,YD1,YD1-西花宾馆,LEG4起点，一座美丽的宾馆。曾经有个不胖的人在这里用口技征服全场。,120.6277101,31.31717045
6,YD2,YD2-钱江新城,LEG3PS。“天圆地方，日月同辉”,120.2157708,30.24313588
6,YD2,YD2-东方之光,LEG1DT，YD2网络线索指示的地点，著名的日晷雕塑。\n数一数：请步行前往世纪广场，请数一下广场上花坛的数量。\n踢一踢：步行前往源深体育中心，2人连续对踢毽子10个。,121.5387074,31.22241387
6,YD2,YD2-虹口足球场,YD2起点。Twist：投票决定本赛段第几拿直通卡。\nLEG6RI：你们是否心有灵“吸”？\n两名队员将各得到一块磁石，站在指定位置后分别滑行投掷。\n\n第一个投掷的队员必须投过指定距离，\n第二名队员的投掷若能使两块磁石吸附，挑战完成。,121.4800203,31.27188145
6,YD2,YD2-世纪广场,LEG1DT：数一数。刺刺，枚举开心吗？,121.5433898,31.21962953
6,YD2,YD2-源深体育中心,LEG1DT：踢一踢：两人对踢10下毽子。\n连TAR24LEG2都采用的美丽省钱任务。\n教练！我想学毽子！,121.536889,31.23349141
6,YD2,YD2-中共一大会址,LEG1RI，一个随机让路点胎死腹中。,121.4750805,31.22012946
6,YD2,YD2-徐家汇教堂,LEG2RI。\n在《命中注定我爱你》中女主角曾经到的地方。作为一种心灵的寄托，支撑着对生活的信心，被称为上海的“梵蒂冈”，整幢建筑高五层，砖木结构，\n外观是典型的欧洲中世纪哥特式。尖顶上的两个十字架，直插云霄。,121.4362535,31.19102893
6,YD2,YD2-松江新城站3号口,LEG2DT。,121.2305957,31.02988279
6,YD2,YD2-上海市中心图书馆松江分馆,LEG2DT：book。买到最新一期读者。你买到读者了吗？,121.2233808,31.03567009
6,YD2,YD2-思贤公园,LEG2DT点。Butt：用飞镖扔出至少24分。你以为你很会用飞镖吗？,121.2232801,31.03038023
6,YD2,YD2-程十发艺术馆,LEG2RB：谁更懂艺术？\n选手必须观察9幅图或其局部在艺术馆中找到这些作品。\nPS：后来发现4点就关门了结果导致写错一处罚3分钟。,121.2276603,31.00710045
6,YD2,YD2-七宝老街'荷花亭',LEG2PS。7支队伍为了6个继续参赛的名额而竭尽全力。,121.3536055,31.15413166
6,YD2,YD2-胜利河美食街,"LEG3DT：\nIntersection点。\n“5 Feet”：本任务中，4名选手需完成一个四人五足游戏。\n“4 Brains”：在胜利河美食街沿街寻找正确的三角形、圆形、直线道具各一个，拼成""死亡圣器“。\n“京杭大运河，上塘高架路，食肆香满街，胜利非形容。”",120.1562898,30.29823011
6,YD2,YD2-虹桥火车站,LEG3起点,121.3205963,31.19418471
6,YD2,YD2-信义坊码头,LEG3RI。\n没时间解释了，快上车！,120.1469626,30.29626796
6,YD2,YD2-西湖文化广场,LEG3RB点。,120.163092,30.27575653
6,YD2,YD2-杭州大厦,LEG3RB：谁更爱逛街？把30个商标在杭州大厦内一笔画。\n朋友，你热爱逛街吗?,120.161576,30.2722085
6,YD2,YD2-黄龙体育中心,LEG4RB：Who feels lucky？\n总而言之就是狂抽胶囊到过关为止。\n“我要飞得更高——放弃。”,120.1337632,30.26604342
6,YD2,YD2-曲院风荷,LEG4DT：苦尽甘来Step1：五杯茶挑一杯喝，然后再从五杯茶当中选出之前喝过的那杯。,120.1341226,30.25087608
6,YD2,YD2-浙大玉泉校区,LEG4DT：车马劳顿Step1。总之先上车了再说，下车需要回答问题。,120.1261206,30.26162155
6,YD2,YD2-河坊街,LEG4DT：苦尽甘来Step2。买两包麦芽糖吃吧！,120.1633796,30.23995139
6,YD2,YD2-吴山花鸟市场,LEG4DT：车马劳顿step2：用60以上的价格卖出11支玫瑰花。\n为什么要这么贵啊！,120.1665204,30.24052024
6,YD2,YD2-新新饭店,LEG4PS。正对着美丽的断桥！,120.1440028,30.25580307
6,YD2,YD2-人民广场,LEG5起点。,121.4745057,31.22933419
6,YD2,YD2-大悦城,LEG5RI。,121.4721971,31.24281492
6,YD2,YD2-梅园公园,原“上海古代民俗娱乐村。”\nLEG5RB：接头暗号。“极速前进”对“城市飞奔”。\nRI：拼图。,121.5264756,31.23651519
6,YD2,YD2-紫薇路高斯路,张江有轨电车最中间一站，离著名选手七七原住址只有不到100米。,121.6133223,31.19980082
6,YD2,YD2-紫薇公园,和紫薇路同名的公园。\nLEG5RB：谁来探锁：记起几个数字然后运算得到锁的密码……,121.6150303,31.20027949
6,YD2,YD2-东昌路渡口,随机让路点，LEG5RI。,121.5034445,31.23019862
6,YD2,YD2-人民英雄纪念塔,LEG5PS。,121.4912494,31.24218988
6,YD2,YD2-外白渡桥,LEG6起点。,121.4903695,31.24393939
6,YD2,YD2-龙华寺,LEG6RI。,121.4518549,31.17466844
6,YD2,YD2-静安寺,LEG6DT选择点。,121.4456255,31.2230517
6,YD2,YD2-蔡元培故居,LEG6DT：破译：选手必须步行前往较远的蔡元培故居，进入故居后找到蔡元培曾经使用的打字机后，将下面这串字符与打字机上的字母对应，回到静安寺门口，告诉工作人员是什么单词，如果正确可以获得下一条线索。,121.44713,31.21895958
6,YD2,YD2-静安公园,LEG6DT，组装：完成一个苹果模型的拼装，完成后既可获得下一条线索。,121.4467702,31.22193977
6,YD2,YD2-五角场800号三楼,LEG6最终任务：将文字卡片内容指向的数字用科学计数法表示，取有效数字（例：3->3 91->9.1）\n将1-9按顺序叠放，如果卡片内容的数字为整数，则在数字卡片上方放置。\n若有小数部分，则从小到大放在相应的数字卡片下方。,121.5255592,31.29432986
6,YD2,YD2-五角场800号屋顶,LEG6PS，在屋顶。,121.5256598,31.294098
6,YD2,YD2-上海音乐厅,LEG1PS，LEG2起点。红红遥遥落后导致本赛段变为TBC。,121.4780376,31.22675797
6,YD2,YD2-1933老场坊,起点后的第一个地点，因为大雪封了天台而变low了。,121.4917893,31.25448989
6,YD2,YD2-国权路地铁站,没时间解释了，快上自行车！自己骑！\n23333本来没添……,121.5101575,31.28966216
6,YD2,YD2-张江有轨电车起点站,选手们必须乘坐张江有轨电车1路到最中间一站下车。,121.5865227,31.20124362
7,SH5,SH5-五卅运动纪念碑,SH5起点，Starting line task ：选手们需要在指定区域内找到城市飞奔字样的卡片并拨打电话获得语音线索。,121.4731297,31.23383056
7,SH5,SH5-南京路置地广场,LEG1RB；谁能和路人交流，选手需要将工作人员提供的5元纸币更换为5个不同的1元硬币，只能和非商店经营者的路人交换。,121.482132,31.23619052
7,SH5,SH5-上海市民政局,LEG1PS，LEG2起点，Intersection点。,121.4868044,31.23601713
7,SH5,SH5-豫园石玉斋,LEG2RI。,121.4914185,31.22668139
7,SH5,SH5-孙中山故居,LEG2RI,121.4676004,31.21597963
7,SH5,SH5-上海壹号美术馆,LEG2RI：完成数独。,121.4716518,31.21048887
7,SH5,SH5-光启公园,LEG3DT：eat：吃一份苦瓜；drink：喝掉一份混合饮料。U-turn ahead！,121.4348192,31.18952561
7,SH5,SH5-聂耳铜像,LEG3RB：谁更懂音乐？选手们需要在花坛中找出幕后正在弹奏的乐曲对应的乐谱。,121.4474676,31.2103056
7,SH5,SH5-中山公园,LEG3PS，LEG4起点。PK：找到打油诗对应的地点取回拼图并完成。,121.4194197,31.22187
7,SH5,SH5-鲁迅纪念馆,"LEG4 Double RB点\n聚会游戏：根据转盘和抽签决定手脚在""Twister扭扭乐""上的位置，两名队员保持该姿势十五分钟，手脚在圈内且其他部分不触地即算成功。\n弄堂游戏：进行打弹子游戏，每次有5个弹子的机会，击中过全部3个弹子后任务完成，若失败则弹子重置。",121.4837026,31.26951499
7,SH5,SH5-多伦路文化名人街,LEG4RI,121.4819376,31.26340012
7,SH5,SH5-鲁迅公园小岛凉亭,LEG4PS，PK：顶南瓜赛跑。\n回忆任务：选手印象：幕后收集了各淘汰队伍对所有队伍的评价。三强听到这些描述后要判断是在描述哪支队伍。一共63个评价，配对正确最多的队伍成为本次比赛的冠军。,121.4820114,31.26985884
7,SH5,SH5-田子坊,LEG2PS，LEG3起点，RI：仰望天空寻找8张照片拍摄点签到。PK：用10元经费拿到1.5米外的拼图并完成。,121.4690595,31.20822997
8,BJ1,BJ1-陶然亭公园,,116.3817737,39.8740268
8,BJ1,BJ1-牛街/输入胡同(路口),第一赛段途经点,116.3636698,39.88647037
8,BJ1,BJ1-金融街购物中心,,116.3624948,39.91535034
8,BJ1,BJ1-百花深处胡同,选手们要根据One Night in Beijing这首歌的歌词找到这里,116.3742146,39.93772654
8,BJ1,BJ1-西城区文化中心,第二赛段途经点,116.3670594,39.94125493
8,BJ1,BJ1-中国美术馆,第二赛段任务点,116.4092593,39.92534332
8,BJ1,BJ1-国家体育场(鸟巢),拼单词任务：在10个字母中找出五个字母拼成和北京奥运有关的词，答案Usain（尤塞因·博尔特）,116.3957293,39.99310509
8,BJ1,BJ1-北京大学康博思餐饮街,回忆任务,116.3088752,39.98821598
8,BJ1,BJ1-未名湖,北京赛第一季终点,116.3105181,39.99347006
9,SH6,SH6-上海东方艺术中心,LEG1三岔DT：记忆图案。,121.5415231,31.22285948
9,SH6,SH6-世纪大道站,LEG1PS，LEG2起点。,121.5269005,31.22890393
9,SH6,SH6-陆家嘴中心绿地,LEG2RB：吃芥末饼干。,121.5059901,31.23789917
9,SH6,SH6-明珠环,LEG2RI：和5个路人合影（至少1个外国人）。全世界人都不知道这里叫明珠环。,121.5008929,31.23851461
